movie_id,title,rating,parent_guide,runtime,url
tt0119217,Good Will Hunting,8.3,R,126,https://imdb.com/title/tt0119217
tt0119698,Princess Mononoke,8.3,PG-13,134,https://imdb.com/title/tt0119698
tt7286456,Joker,8.4,R,122,https://imdb.com/title/tt7286456
tt5311514,Your Name.,8.4,,106,https://imdb.com/title/tt5311514
tt0057565,High and Low,8.4,,143,https://imdb.com/title/tt0057565
tt0087843,Once Upon a Time in America,8.3,R,229,https://imdb.com/title/tt0087843
tt1187043,3 Idiots,8.4,PG-13,170,https://imdb.com/title/tt1187043
tt0045152,Singin' in the Rain,8.3,G,103,https://imdb.com/title/tt0045152
tt8267604,Capernaum,8.4,R,126,https://imdb.com/title/tt8267604
tt0091251,Come and See,8.4,,142,https://imdb.com/title/tt0091251
tt0180093,Requiem for a Dream,8.3,NC-17,102,https://imdb.com/title/tt0180093
tt0435761,Toy Story 3,8.3,G,103,https://imdb.com/title/tt0435761
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,PG,131,https://imdb.com/title/tt0086190
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,R,108,https://imdb.com/title/tt0338013
tt2106476,The Hunt,8.3,R,115,https://imdb.com/title/tt2106476
tt0062622,2001: A Space Odyssey,8.3,G,149,https://imdb.com/title/tt0062622
tt15398776,Oppenheimer,8.3,R,180,https://imdb.com/title/tt15398776
tt0105236,Reservoir Dogs,8.3,R,99,https://imdb.com/title/tt0105236
tt0044741,Ikiru,8.3,,143,https://imdb.com/title/tt0044741
tt0056172,Lawrence of Arabia,8.3,PG,218,https://imdb.com/title/tt0056172
tt0053604,The Apartment,8.3,Approved,125,https://imdb.com/title/tt0053604
tt1255953,Incendies,8.3,R,131,https://imdb.com/title/tt1255953
tt0053125,North by Northwest,8.3,Approved,136,https://imdb.com/title/tt0053125
tt0033467,Citizen Kane,8.3,PG,119,https://imdb.com/title/tt0033467
tt0022100,M,8.3,Passed,99,https://imdb.com/title/tt0022100
tt0052357,Vertigo,8.3,PG,128,https://imdb.com/title/tt0052357
tt0086250,Scarface,8.3,R,170,https://imdb.com/title/tt0086250
tt0036775,Double Indemnity,8.3,Approved,107,https://imdb.com/title/tt0036775
tt0093058,Full Metal Jacket,8.3,R,116,https://imdb.com/title/tt0093058
tt0211915,Amélie,8.3,R,122,https://imdb.com/title/tt0211915
tt0113277,Heat,8.3,R,170,https://imdb.com/title/tt0113277
tt0066921,A Clockwork Orange,8.3,R,136,https://imdb.com/title/tt0066921
tt1049413,Up,8.3,PG,96,https://imdb.com/title/tt1049413
tt0056592,To Kill a Mockingbird,8.3,Approved,129,https://imdb.com/title/tt0056592
tt1832382,A Separation,8.3,PG-13,123,https://imdb.com/title/tt1832382
tt0070735,The Sting,8.3,PG,129,https://imdb.com/title/tt0070735
tt0097576,Indiana Jones and the Last Crusade,8.2,PG-13,127,https://imdb.com/title/tt0097576
tt0095016,Die Hard,8.2,R,132,https://imdb.com/title/tt0095016
tt0017136,Metropolis,8.3,,153,https://imdb.com/title/tt0017136
tt0986264,Like Stars on Earth,8.3,PG,162,https://imdb.com/title/tt0986264
tt0208092,Snatch,8.2,R,102,https://imdb.com/title/tt0208092
tt8503618,Hamilton,8.3,PG-13,160,https://imdb.com/title/tt8503618
tt0119488,L.A. Confidential,8.2,R,138,https://imdb.com/title/tt0119488
tt8579674,1917,8.2,R,119,https://imdb.com/title/tt8579674
tt0040522,Bicycle Thieves,8.3,,89,https://imdb.com/title/tt0040522
tt0075314,Taxi Driver,8.2,R,114,https://imdb.com/title/tt0075314
tt0363163,Downfall,8.2,R,156,https://imdb.com/title/tt0363163
tt5074352,Dangal,8.3,,161,https://imdb.com/title/tt5074352
tt0059578,For a Few Dollars More,8.2,R,132,https://imdb.com/title/tt0059578
tt0372784,Batman Begins,8.2,PG-13,140,https://imdb.com/title/tt0372784
tt0993846,The Wolf of Wall Street,8.2,R,180,https://imdb.com/title/tt0993846
tt0053291,Some Like It Hot,8.2,Approved,121,https://imdb.com/title/tt0053291
tt6966692,Green Book,8.2,PG-13,130,https://imdb.com/title/tt6966692
tt0012349,The Kid,8.2,Passed,68,https://imdb.com/title/tt0012349
tt10272386,The Father,8.2,PG-13,97,https://imdb.com/title/tt10272386
tt0055031,Judgment at Nuremberg,8.3,Approved,179,https://imdb.com/title/tt0055031
tt0120382,The Truman Show,8.2,PG,103,https://imdb.com/title/tt0120382
tt0042192,All About Eve,8.2,Approved,138,https://imdb.com/title/tt0042192
tt1745960,Top Gun: Maverick,8.2,PG-13,130,https://imdb.com/title/tt1745960
tt1130884,Shutter Island,8.2,R,138,https://imdb.com/title/tt1130884
tt0469494,There Will Be Blood,8.2,R,158,https://imdb.com/title/tt0469494
tt0112641,Casino,8.2,R,178,https://imdb.com/title/tt0112641
tt0107290,Jurassic Park,8.2,PG-13,127,https://imdb.com/title/tt0107290
tt0089881,Ran,8.2,R,160,https://imdb.com/title/tt0089881
tt0167404,The Sixth Sense,8.2,PG-13,107,https://imdb.com/title/tt0167404
tt0457430,Pan's Labyrinth,8.2,R,118,https://imdb.com/title/tt0457430
tt0105695,Unforgiven,8.2,R,130,https://imdb.com/title/tt0105695
tt0477348,No Country for Old Men,8.2,R,122,https://imdb.com/title/tt0477348
tt0268978,A Beautiful Mind,8.2,PG-13,135,https://imdb.com/title/tt0268978
tt0084787,The Thing,8.2,R,109,https://imdb.com/title/tt0084787
tt0266697,Kill Bill: Vol. 1,8.2,R,111,https://imdb.com/title/tt0266697
tt0040897,The Treasure of the Sierra Madre,8.2,Approved,126,https://imdb.com/title/tt0040897
tt0055630,Yojimbo,8.2,,110,https://imdb.com/title/tt0055630
tt0071853,Monty Python and the Holy Grail,8.2,PG,91,https://imdb.com/title/tt0071853
tt0057115,The Great Escape,8.2,Approved,172,https://imdb.com/title/tt0057115
tt0266543,Finding Nemo,8.2,G,100,https://imdb.com/title/tt0266543
tt1392214,Prisoners,8.2,R,153,https://imdb.com/title/tt1392214
tt0042876,Rashomon,8.2,,88,https://imdb.com/title/tt0042876
tt0347149,Howl's Moving Castle,8.2,PG,119,https://imdb.com/title/tt0347149
tt0080678,The Elephant Man,8.2,PG,124,https://imdb.com/title/tt0080678
tt0071315,Chinatown,8.1,R,130,https://imdb.com/title/tt0071315
tt0046912,Dial M for Murder,8.2,PG,105,https://imdb.com/title/tt0046912
tt0031381,Gone with the Wind,8.2,G,238,https://imdb.com/title/tt0031381
tt0434409,V for Vendetta,8.2,R,132,https://imdb.com/title/tt0434409
tt0120735,"Lock, Stock and Two Smoking Barrels",8.1,R,107,https://imdb.com/title/tt0120735
tt1305806,The Secret in Their Eyes,8.2,R,129,https://imdb.com/title/tt1305806
tt2096673,Inside Out,8.1,PG,95,https://imdb.com/title/tt2096673
tt0081398,Raging Bull,8.1,R,129,https://imdb.com/title/tt0081398
tt5027774,"Three Billboards Outside Ebbing, Missouri",8.1,R,115,https://imdb.com/title/tt5027774
tt0117951,Trainspotting,8.1,R,93,https://imdb.com/title/tt0117951
tt0050212,The Bridge on the River Kwai,8.1,PG,161,https://imdb.com/title/tt0050212
tt4729430,Klaus,8.2,PG,96,https://imdb.com/title/tt4729430
tt0116282,Fargo,8.1,R,98,https://imdb.com/title/tt0116282
tt10872600,Spider-Man: No Way Home,8.2,PG-13,148,https://imdb.com/title/tt10872600
tt0264464,Catch Me If You Can,8.1,PG-13,141,https://imdb.com/title/tt0264464
tt1291584,Warrior,8.1,PG-13,140,https://imdb.com/title/tt1291584
tt1205489,Gran Torino,8.1,R,116,https://imdb.com/title/tt1205489
tt0096283,My Neighbor Totoro,8.1,G,86,https://imdb.com/title/tt0096283
tt0405159,Million Dollar Baby,8.1,PG-13,132,https://imdb.com/title/tt0405159
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,PG-13,130,https://imdb.com/title/tt1201607
tt0118849,Children of Heaven,8.2,PG,89,https://imdb.com/title/tt0118849
tt2024544,12 Years a Slave,8.1,R,134,https://imdb.com/title/tt2024544
tt0083658,Blade Runner,8.1,R,117,https://imdb.com/title/tt0083658
tt0112471,Before Sunrise,8.1,R,101,https://imdb.com/title/tt0112471
tt0052618,Ben-Hur,8.1,G,212,https://imdb.com/title/tt0052618
tt0072684,Barry Lyndon,8.1,PG,185,https://imdb.com/title/tt0072684
tt2278388,The Grand Budapest Hotel,8.1,R,99,https://imdb.com/title/tt2278388
tt2267998,Gone Girl,8.1,R,149,https://imdb.com/title/tt2267998
tt2119532,Hacksaw Ridge,8.1,R,139,https://imdb.com/title/tt2119532
tt0015864,The Gold Rush,8.1,Approved,95,https://imdb.com/title/tt0015864
tt0353969,Memories of Murder,8.1,,132,https://imdb.com/title/tt0353969
tt0107207,In the Name of the Father,8.1,R,133,https://imdb.com/title/tt0107207
tt0097165,Dead Poets Society,8.1,PG,128,https://imdb.com/title/tt0097165
tt1392190,Mad Max: Fury Road,8.1,R,120,https://imdb.com/title/tt1392190
tt3011894,Wild Tales,8.1,R,122,https://imdb.com/title/tt3011894
tt0017925,The General,8.1,Passed,78,https://imdb.com/title/tt0017925
tt0077416,The Deer Hunter,8.1,R,183,https://imdb.com/title/tt0077416
tt0047296,On the Waterfront,8.1,Approved,108,https://imdb.com/title/tt0047296
tt0198781,"Monsters, Inc.",8.1,G,92,https://imdb.com/title/tt0198781
tt0015324,Sherlock Jr.,8.2,Passed,45,https://imdb.com/title/tt0015324
tt0073195,Jaws,8.1,PG,124,https://imdb.com/title/tt0073195
tt0892769,How to Train Your Dragon,8.1,PG,98,https://imdb.com/title/tt0892769
tt0041959,The Third Man,8.1,Approved,93,https://imdb.com/title/tt0041959
tt0046268,The Wages of Fear,8.2,,131,https://imdb.com/title/tt0046268
tt0978762,Mary and Max,8.1,,92,https://imdb.com/title/tt0978762
tt0050986,Wild Strawberries,8.1,,91,https://imdb.com/title/tt0050986
tt0031679,Mr. Smith Goes to Washington,8.1,Approved,129,https://imdb.com/title/tt0031679
tt0382932,Ratatouille,8.1,G,111,https://imdb.com/title/tt0382932
tt1950186,Ford v Ferrari,8.1,PG-13,152,https://imdb.com/title/tt1950186
tt0046438,Tokyo Story,8.1,,136,https://imdb.com/title/tt0046438
tt0118715,The Big Lebowski,8.1,R,117,https://imdb.com/title/tt0118715
tt3170832,Room,8.1,R,118,https://imdb.com/title/tt3170832
tt0050976,The Seventh Seal,8.1,,96,https://imdb.com/title/tt0050976
tt0075148,Rocky,8.1,PG,120,https://imdb.com/title/tt0075148
tt3315342,Logan,8.1,R,137,https://imdb.com/title/tt3315342
tt1895587,Spotlight,8.1,R,129,https://imdb.com/title/tt1895587
tt0395169,Hotel Rwanda,8.1,PG-13,121,https://imdb.com/title/tt0395169
tt0088247,The Terminator,8.1,R,107,https://imdb.com/title/tt0088247
tt0091763,Platoon,8.1,R,120,https://imdb.com/title/tt0091763
